vector_size,window,min_count,epochs,hs,negative,sample,self_similarity,second_similarity
100,2,4,15,1,0,0,0.6796666666666666,0.7823333333333333
100,2,4,20,1,0,0.1,0.6716666666666666,0.7736666666666666
100,2,4,20,1,0,0,0.676,0.777
100,2,4,30,1,0,0.1,0.6733333333333333,0.776
100,2,4,30,1,0,0,0.6643333333333333,0.7723333333333333
100,2,4,50,1,0,0.1,0.6593333333333333,0.7613333333333333
100,2,4,50,1,0,0,0.661,0.7633333333333333
100,3,2,5,1,0,0.1,0.653,0.7516666666666667
100,3,2,5,1,0,0,0.645,0.7393333333333333
100,3,2,8,1,0,0.1,0.6783333333333333,0.778
100,3,2,8,1,0,0,0.6793333333333333,0.7813333333333333
100,3,2,10,1,0,0.1,0.6793333333333333,0.7796666666666666
100,3,2,10,1,0,0,0.6846666666666666,0.783
100,3,2,12,1,0,0.1,0.685,0.7843333333333333
100,3,2,12,1,0,0,0.683,0.782
100,3,2,15,1,0,0.1,0.681,0.7793333333333333
100,3,2,15,1,0,0,0.6873333333333334,0.7836666666666666
100,3,2,20,1,0,0.1,0.677,0.777
100,3,2,20,1,0,0,0.6736666666666666,0.777
100,3,2,30,1,0,0.1,0.6623333333333333,0.77
100,3,2,30,1,0,0,0.664,0.7686666666666667
100,3,2,50,1,0,0.1,0.659,0.7626666666666667
100,3,2,50,1,0,0,0.6603333333333333,0.7593333333333333
100,3,3,5,1,0,0.1,0.6493333333333333,0.7493333333333333
100,3,3,5,1,0,0,0.6426666666666667,0.747
100,3,3,8,1,0,0.1,0.678,0.7753333333333333
100,3,3,8,1,0,0,0.6696666666666666,0.7696666666666667
100,3,3,10,1,0,0.1,0.6786666666666666,0.773
100,3,3,10,1,0,0,0.676,0.7736666666666666
100,3,3,12,1,0,0.1,0.6823333333333333,0.779
100,3,3,12,1,0,0,0.6743333333333333,0.7733333333333333
100,3,3,15,1,0,0.1,0.6786666666666666,0.7816666666666666
100,3,3,15,1,0,0,0.68,0.778
100,3,3,20,1,0,0.1,0.681,0.7786666666666666
100,3,3,20,1,0,0,0.676,0.7803333333333333
100,3,3,30,1,0,0.1,0.6603333333333333,0.766
100,3,3,30,1,0,0,0.6666666666666666,0.7703333333333333
100,3,3,50,1,0,0.1,0.66,0.763
100,3,3,50,1,0,0,0.657,0.757
100,3,4,5,1,0,0.1,0.643,0.7433333333333333
100,3,4,5,1,0,0,0.634,0.741
